City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,nuuk,64.1835,-51.7216,-6.81,89,83,3.35,GL,1678493787
240,balkanabat,39.5108,54.3671,11.61,63,41,3.29,TM,1678493788
241,leninskoye,41.7589,69.3864,16.73,42,99,1.88,KZ,1678493789
242,paamiut,61.994,-49.6678,-5.82,79,89,3.04,GL,1678493790
243,dikson,73.5069,80.5464,-19.14,87,99,5.21,RU,1678493790
244,eenhana,-17.4667,16.3333,20.42,83,90,3.82,NA,1678493791
245,verkhoyansk,67.5447,133.385,-24.18,98,90,1.07,RU,1678493792
246,jutai,-5.1833,-68.9,23.12,98,100,1.3,BR,1678493792
247,russell,32.3502,-85.1999,16.22,67,100,3.24,US,1678493724
248,myitkyina,25.3833,97.4,17.11,48,71,0.81,MM,1678493793
249,tezu,27.9167,96.1667,18.36,29,21,2.0,IN,1678493794
250,karangasem,-8.45,115.6167,26.71,77,43,2.44,ID,1678493794
251,challapata,-18.9,-66.7667,12.3,57,85,4.28,BO,1678493795
252,lasa,46.6166,10.7002,6.49,92,96,3.02,IT,1678493796
253,malartic,48.1335,-78.1328,-5.94,93,100,4.83,CA,1678493796
254,atambua,-9.1061,124.8925,25.06,80,4,0.45,ID,1678493797
255,vestmannaeyjar,63.4427,-20.2734,-7.64,50,21,4.94,IS,1678493798
256,havelock,34.8791,-76.9013,15.53,88,100,3.09,US,1678493798
257,northam,51.0333,-4.2167,3.67,83,100,5.02,GB,1678493799
258,manokwari,-0.8667,134.0833,27.64,75,74,2.19,ID,1678493800
259,chokurdakh,70.6333,147.9167,-29.75,91,21,3.46,RU,1678493800
260,tunceli,39.1083,39.5471,8.05,89,100,1.31,TR,1678493801
261,joacaba,-27.1781,-51.5047,20.33,88,98,1.21,BR,1678493802
262,ballina,-28.8667,153.5667,27.66,83,93,0.89,AU,1678493802
263,hadejia,12.4498,10.0444,27.03,14,90,3.68,NG,1678493803
264,mahebourg,-20.4081,57.7,26.16,83,75,2.06,MU,1678493803
265,prince rupert,54.3161,-130.3201,4.58,59,100,0.68,CA,1678493703
266,luderitz,-26.6481,15.1594,15.91,90,0,4.39,NA,1678493804
267,tiksi,71.6872,128.8694,-18.75,97,100,0.64,RU,1678493806
268,severo-kurilsk,50.6789,156.125,-0.53,84,100,2.38,RU,1678493807
269,port blair,11.6667,92.75,24.02,94,40,1.03,IN,1678493808
270,ninghai,29.2892,121.4247,14.46,74,100,1.53,CN,1678493808
271,joao pinheiro,-17.7425,-46.1725,21.93,72,88,1.38,BR,1678493809
272,beringovskiy,63.05,179.3167,-5.53,92,100,2.18,RU,1678493810
273,yelizovo,53.1873,158.3805,-4.92,57,40,2.0,RU,1678493811
274,alice springs,-23.7,133.8833,27.75,23,0,3.6,AU,1678493811
275,cherskiy,68.75,161.3,-27.45,97,98,2.12,RU,1678493812
276,maragogi,-9.0122,-35.2225,26.41,77,43,3.28,BR,1678493320
277,medea,36.2642,2.7539,9.14,68,85,1.56,DZ,1678493813
278,dubai,25.2582,55.3047,26.96,29,0,3.09,AE,1678493548
279,santa helena,-2.2311,-45.3,23.62,95,100,0.78,BR,1678493814
280,arraial do cabo,-22.9661,-42.0278,24.98,88,0,7.2,BR,1678493815
281,abonnema,4.7084,6.7931,26.7,82,78,1.65,NG,1678493815
282,brantford,43.1334,-80.2664,-1.21,88,100,1.34,CA,1678493698
283,loubomo,-4.1997,12.6739,22.36,97,100,1.29,CG,1678493816
284,asau,46.4333,26.4,6.51,78,100,1.53,RO,1678493817
285,jiuquan,39.7432,98.5174,-0.93,26,74,2.54,CN,1678493818
286,usak,38.5,29.4167,8.67,79,86,3.72,TR,1678493818
287,buala,-8.145,159.5921,27.95,78,100,1.63,SB,1678493819
288,pozo colorado,-23.4923,-58.7972,25.24,84,51,2.58,PY,1678493819
289,rocha,-34.4833,-54.3333,23.29,91,66,4.35,UY,1678493820
290,kahului,20.8947,-156.47,26.65,53,20,3.6,US,1678493821
291,vila,42.0304,-8.1588,9.49,4,100,2.92,PT,1678493821
292,samoded,63.6083,40.5111,-11.11,95,48,2.93,RU,1678493823
293,simojovel,17.1391,-92.7103,21.23,95,58,0.29,MX,1678493824
294,sorgun,39.8101,35.186,8.11,67,92,4.7,TR,1678493825
295,broken hill,-31.95,141.4333,25.84,25,8,2.89,AU,1678493826
296,muros,42.7762,-9.0603,15.61,91,100,6.64,ES,1678493827
297,marzuq,14.4,46.4667,17.66,76,30,2.66,YE,1678493828
298,ajaccio,42.0,8.9167,15.03,67,75,3.09,FR,1678493829
299,antofagasta,-23.65,-70.4,21.6,85,27,1.53,CL,1678493829
300,bowen,-20.0167,148.2333,28.53,73,1,3.46,AU,1678493831
301,norman wells,65.282,-126.8329,-14.98,72,100,7.2,CA,1678493832
302,meulaboh,4.1363,96.1285,24.0,89,89,1.33,ID,1678493832
303,ranong,9.9658,98.6348,24.96,85,59,1.43,TH,1678493833
304,dunedin,-45.8742,170.5036,19.44,54,89,1.64,NZ,1678493834
305,fortuna,40.5982,-124.1573,12.03,64,0,4.12,US,1678493835
306,baft,29.234,56.6057,8.96,58,93,2.79,IR,1678493836
307,olafsvik,64.8945,-23.7142,-6.63,58,100,9.02,IS,1678493837
308,juneau,58.3019,-134.4197,-0.33,100,81,4.35,US,1678493837
309,shumyachi,53.8583,32.4242,-3.8,94,100,7.03,RU,1678493839
310,kushima,31.4583,131.2333,18.21,68,1,0.96,JP,1678493840
311,kirakira,-10.4544,161.9205,27.1,82,100,4.28,SB,1678493841
312,baykit,61.67,96.37,-13.09,97,100,2.83,RU,1678493842
313,zhigansk,66.7697,123.3711,-19.33,97,100,6.83,RU,1678493844
314,lagoa,39.05,-27.9833,15.65,90,83,4.44,PT,1678493845
315,pundaguitan,6.3711,126.1689,26.88,74,80,1.65,PH,1678493846
316,veraval,20.9,70.3667,24.57,36,0,4.71,IN,1678493846
317,misratah,32.3754,15.0925,17.68,74,6,5.55,LY,1678493847
318,palauig,15.435,119.9045,25.96,61,9,1.75,PH,1678493848
319,morehead,37.2711,-87.1764,6.11,62,40,3.09,US,1678493848
320,camacha,33.0833,-16.3333,16.68,82,40,3.6,PT,1678493849
321,saint-augustin,51.226,-58.6502,-0.82,73,29,8.2,CA,1678493850
322,linkou,45.3,130.2833,1.92,41,94,3.35,CN,1678493851
323,anadyr,64.75,177.4833,-10.72,73,40,6.0,RU,1678493852
324,havre-saint-pierre,50.2334,-63.5986,-0.8,55,100,6.17,CA,1678493853
325,hammerfest,70.6634,23.6821,-4.75,63,40,7.2,NO,1678493854
